Timestamp,Eth Src,Action
2025-04-21 19:24:04,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:04,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:08,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:09,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:13,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:13,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:14,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:14,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:18,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:18,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:19,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:19,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:23,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:23,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:24,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:24,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:28,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:28,00:00:00:00:00:13,00:00:00:00:00:12,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:29,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:33,00:00:00:00:00:13,00:00:00:00:00:12,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:34,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:38,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:43,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:43,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 19:24:44,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
